NodeCount,GraphType,DatasetCount,F1_Shifted_Nodes,F1_Function_Shift_Combined,F1_Noise_Shift_Combined,Macro_F1_Combined,F1_Function_Shift_True_Pop,F1_Noise_Shift_True_Pop,Macro_F1_True_Pop
10,ER,30,0.822,0.744,0.744,0.744,0.744,0.744,0.744
10,SF,30,0.899,0.589,0.722,0.656,0.589,0.722,0.656
20,ER,30,0.894,0.643,0.771,0.707,0.643,0.771,0.707
20,SF,30,0.923,0.414,0.659,0.537,0.414,0.659,0.537
30,ER,30,0.835,0.587,0.802,0.694,0.587,0.802,0.694
30,SF,30,0.908,0.317,0.617,0.467,0.317,0.617,0.467
40,ER,30,0.830,0.591,0.783,0.687,0.591,0.783,0.687
40,SF,30,0.886,0.406,0.688,0.547,0.406,0.688,0.547
50,ER,30,0.831,0.529,0.771,0.650,0.529,0.771,0.650
50,SF,30,0.878,0.386,0.623,0.505,0.386,0.623,0.505
