NodeCount,GraphType,DatasetCount,F1_Shifted_Nodes,F1_Function_Shift_Combined,F1_Noise_Shift_Combined,F1_Function_Shift_True_Pop,F1_Noise_Shift_True_Pop,Macro_F1_Combined,Macro_F1_True_Pop
10,ER,30,0.752,0.067,0.656,0.433,0.656,0.361,0.544
10,SF,30,0.744,0.133,0.944,0.500,0.944,0.539,0.722
20,ER,30,0.772,0.067,0.736,0.433,0.736,0.401,0.584
20,SF,30,0.710,0.100,0.848,0.500,0.848,0.474,0.674
30,ER,30,0.757,0.000,0.697,0.300,0.697,0.349,0.499
30,SF,30,0.661,0.033,0.856,0.500,0.856,0.444,0.678
40,ER,30,0.735,0.000,0.730,0.267,0.736,0.365,0.501
40,SF,30,0.647,0.000,0.786,0.500,0.786,0.393,0.643
50,ER,30,0.756,0.000,0.781,0.433,0.784,0.391,0.609
50,SF,30,0.625,0.000,0.797,0.467,0.799,0.398,0.633
